activity_group_name	VerwerkingsMethode	amount
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	8,76
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	5,84
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	22,46
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	E03 Composteren, aeroob	9,12
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	E03 Composteren, aeroob	77,32
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	13,84
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	E03 Composteren, aeroob	24,06
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	E03 Composteren, aeroob	9,42
F BOUWNIJVERHEID 	E03 Composteren, aeroob	10,52
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	49,64
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	3,68
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	12,91
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	16,72
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	27,26
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	5,7
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	4,06
H VERVOER EN OPSLAG 	E03 Composteren, aeroob	24,9
F BOUWNIJVERHEID 	E03 Composteren, aeroob	21,62
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	0,42
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	1,9
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	5,94
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	0,2
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	14,34
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	0,42
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	0,7
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	2,22
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	2,89
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	8,78
F BOUWNIJVERHEID 	C02 Shredderen / knippen	6,76
